,Store Name,Address,Type,Rating,Reviews,URL
0,restaurant Pomme de mer,"QQ43+4CQ, طريق",Restaurant,"4,4",44,https://www.google.com/maps/place/restaurant+Pomme+de+mer/data=!4m7!3m6!1s0x1301d36113ba21af:0xaecb4e925fa94596!8m2!3d34.7553158!4d10.7536239!16s%2Fg%2F11s1pyxk4f!19sChIJryG6E2HTARMRlkWpX5JOy64?authuser=0&hl=fr&rclk=1
1,Le Morillon,"Route kaied mhamed, Ceinture Bourguiba",Restaurant,"4,3",26,https://www.google.com/maps/place/Le+Morillon/data=!4m7!3m6!1s0x1301d382f0001d73:0xc1a13f8f4111aa0a!8m2!3d34.7654538!4d10.7446131!16s%2Fg%2F11sx035cpb!19sChIJcx0A8ILTARMRCqoRQY8_ocE?authuser=0&hl=fr&rclk=1
2,Farm Slice Teniour,Rue Hedi Nooman,Pizza,"3,9",452,https://www.google.com/maps/place/Farm+Slice+Teniour/data=!4m7!3m6!1s0x1301d31bc796ba45:0xb8e2b6d9e72316b1!8m2!3d34.7673399!4d10.7471641!16s%2Fg%2F11bzrhtmjn!19sChIJRbqWxxvTARMRsRYj59m24rg?authuser=0&hl=fr&rclk=1
3,Le Barbecue,"PQM8+3V7, Av. Habib Thameur",Restaurant,"4,6",62,https://www.google.com/maps/place/Le+Barbecue/data=!4m7!3m6!1s0x13002d321327b181:0xf49d58d0f1c6e92b!8m2!3d34.7326726!4d10.7671708!16s%2Fg%2F11fzfdc1rm!19sChIJgbEnEzItABMRK-nG8dBYnfQ?authuser=0&hl=fr&rclk=1
4,Baguette & Baguette,"Carrefour, Av. de Carthage",Restaurant,"3,8",40,https://www.google.com/maps/place/Baguette+%26+Baguette/data=!4m7!3m6!1s0x1301d34a0988dc95:0xbb4f9e87f342ca5a!8m2!3d34.7409157!4d10.7574036!16s%2Fg%2F11b6jgk1pc!19sChIJldyICUrTARMRWspC84eeT7s?authuser=0&hl=fr&rclk=1
5,Pasta & Grill Sfax,,Restaurant,"4,6",5,https://www.google.com/maps/place/Pasta+%26+Grill+Sfax/data=!4m7!3m6!1s0x1301d39d837e2755:0xbe3a04bfe192e3fb!8m2!3d34.7365291!4d10.748665!16s%2Fg%2F11gyc25nwz!19sChIJVSd-g53TARMR--OS4b8EOr4?authuser=0&hl=fr&rclk=1
6,Brother's Food,"Imm Yassamin RDC N15, Rue Majida Boulila",Restaurant,"4,2",13,https://www.google.com/maps/place/Brother%27s+Food/data=!4m7!3m6!1s0x13002cd4bc00f515:0xa919f6f9819fa0d8!8m2!3d34.7372864!4d10.7502689!16s%2Fg%2F11c45hnbw4!19sChIJFfUAvNQsABMR2KCfgfn2Gak?authuser=0&hl=fr&rclk=1
7,Tacsos,Av. Mohamed Jmal,Tacos,"4,2",53,https://www.google.com/maps/place/Tacsos/data=!4m7!3m6!1s0x1301d3a00a295965:0xaacb0fe18ee9e07c!8m2!3d34.7695308!4d10.7408868!16s%2Fg%2F11skwz1gzg!19sChIJZVkpCqDTARMRfODpjuEPy6o?authuser=0&hl=fr&rclk=1
8,stop food,Unnamed Road,Restauration rapide,"4,4",26,https://www.google.com/maps/place/stop+food/data=!4m7!3m6!1s0x1301d3af9ac9d409:0xd145897344c5e7b8!8m2!3d34.7497557!4d10.7610949!16s%2Fg%2F11gtyncf4j!19sChIJCdTJmq_TARMRuOfFRHOJRdE?authuser=0&hl=fr&rclk=1
9,TONTON,,Restaurant,"3,6",522,https://www.google.com/maps/place/TONTON/data=!4m7!3m6!1s0x1301d32a12f4d51d:0xee49502e38e49a1d!8m2!3d34.7422246!4d10.7541474!16s%2Fg%2F1v1krznt!19sChIJHdX0EirTARMRHZrkOC5QSe4?authuser=0&hl=fr&rclk=1
10,Ahmed Le Petit,,Restauration rapide,"4,8",14,https://www.google.com/maps/place/Ahmed+Le+Petit/data=!4m7!3m6!1s0x1301d3cc8956c335:0x505aa83feb217f77!8m2!3d34.7329358!4d10.7623024!16s%2Fg%2F11fb0bgv91!19sChIJNcNWiczTARMRd38h6z-oWlA?authuser=0&hl=fr&rclk=1
11,Kalimera,,Restaurant,"3,9",51,https://www.google.com/maps/place/Kalimera/data=!4m7!3m6!1s0x1301d34806a27f7d:0xfce81686f38c7c7d!8m2!3d34.7504746!4d10.7317795!16s%2Fg%2F11c5wp0wl0!19sChIJfX-iBkjTARMRfXyM84YW6Pw?authuser=0&hl=fr&rclk=1
12,Kechmech,PQR4+QFV,Restaurant,"4,1",35,https://www.google.com/maps/place/Kechmech/data=!4m7!3m6!1s0x1301d3826373d745:0xe924a7c44cdc58e8!8m2!3d34.7419876!4d10.7561845!16s%2Fg%2F11gmtr1m6j!19sChIJRddzY4LTARMR6FjcTMSnJOk?authuser=0&hl=fr&rclk=1
13,Los Mariscos,QQ43+J2G,Restaurant,"4,7",27,https://www.google.com/maps/place/Los+Mariscos/data=!4m7!3m6!1s0x1301d320e4d4ed49:0x3f8601e1ced50bf4!8m2!3d34.756561!4d10.7525711!16s%2Fg%2F11f2wbnqpv!19sChIJSe3U5CDTARMR9AvVzuEBhj8?authuser=0&hl=fr&rclk=1
14,restaurant Chich Bich,km 1 Rte de Tunis,Restaurant,"5,0",5,https://www.google.com/maps/place/restaurant+Chich+Bich/data=!4m7!3m6!1s0x1301d339deb3ea95:0xfcb89c1ad505ecd8!8m2!3d34.749981!4d10.760853!16s%2Fg%2F11shhbl2kd!19sChIJleqz3jnTARMR2OwF1RqcuPw?authuser=0&hl=fr&rclk=1
15,Restaurant au Bec Fin,PQM7+HR6,Restaurant,"4,1",33,https://www.google.com/maps/place/Restaurant+au+Bec+Fin/data=!4m7!3m6!1s0x13002d2dbaba1baf:0x4c06efa85e4dd01a!8m2!3d34.7339048!4d10.7645205!16s%2Fg%2F1tv57xxh!19sChIJrxu6ui0tABMRGtBNXqjvBkw?authuser=0&hl=fr&rclk=1
16,Le Grill,"PQH8+X35, Rue de Habib Maazoun",Restaurant,"4,6",79,https://www.google.com/maps/place/Le+Grill/data=!4m7!3m6!1s0x13002d2e3c60e90f:0x86b020d9f25a1ed7!8m2!3d34.7298863!4d10.7652316!16s%2Fg%2F11c37qdzdb!19sChIJD-lgPC4tABMR1x5a8tkgsIY?authuser=0&hl=fr&rclk=1
17,Soltana Food,"PQX6+7C7, Avenue",Restaurant,"3,7",93,https://www.google.com/maps/place/Soltana+Food/data=!4m7!3m6!1s0x1301d2d755599b45:0xfd9b1217d3e7f54a!8m2!3d34.7483506!4d10.7604025!16s%2Fg%2F11gfkfvrq7!19sChIJRZtZVdfSARMRSvXn0xcSm_0?authuser=0&hl=fr&rclk=1
18,L'agora resto,,Restaurant,"3,8",194,https://www.google.com/maps/place/L%27agora+resto/data=!4m7!3m6!1s0x1301d33f13bdc2c3:0xc39882172ca4f9b0!8m2!3d34.7577368!4d10.7339266!16s%2Fg%2F11gf5xb1f4!19sChIJw8K9Ez_TARMRsPmkLBeCmMM?authuser=0&hl=fr&rclk=1
19,Restaurant Chaaben,Av. du 14 Janvier,Restaurant,"4,3",14,https://www.google.com/maps/place/Restaurant+Chaaben/data=!4m7!3m6!1s0x1301d32aec1eee2f:0xbdf7b32aa88b82ac!8m2!3d34.7399374!4d10.7532569!16s%2Fg%2F11d_b9vd3j!19sChIJL-4e7CrTARMRrIKLqCqz970?authuser=0&hl=fr&rclk=1
20,Le Corail,39 Rue de Habib Maazoun,Plats familiaux,"4,0",155,https://www.google.com/maps/place/Le+Corail/data=!4m7!3m6!1s0x13002d2c472aa863:0xd18f5314fe10ee26!8m2!3d34.7333401!4d10.7622813!16s%2Fg%2F11b62x_zwg!19sChIJY6gqRywtABMRJu4Q_hRTj9E?authuser=0&hl=fr&rclk=1
21,Restaurant La Voile Blanche,Rte Teniour,Restaurant,"4,4",170,https://www.google.com/maps/place/Restaurant+La+Voile+Blanche/data=!4m7!3m6!1s0x1301d2d920758a4f:0x86cc72ad4b75fd25!8m2!3d34.7528342!4d10.7577095!16s%2Fg%2F11c1v2dnt3!19sChIJT4p1INnSARMRJf11S61yzIY?authuser=0&hl=fr&rclk=1
22,Restaurant Abid Al Omara,PQR3+V9X,Restaurant,"4,8",14,https://www.google.com/maps/place/Restaurant+Abid+Al+Omara/data=!4m7!3m6!1s0x1301d3368f193131:0x18aaacf29e49ce4c!8m2!3d34.7422445!4d10.7534891!16s%2Fg%2F11gl0js7_8!19sChIJMTEZjzbTARMRTM5JnvKsqhg?authuser=0&hl=fr&rclk=1
23,Restaurant Chaaben +,"QP8J+68X, Rue Cheikh Mahmoud Krichen",Pizza,"4,6",14,https://www.google.com/maps/place/Restaurant+Chaaben+%2B/data=!4m7!3m6!1s0x1301d399e06d5ac1:0x4956e776feb14534!8m2!3d34.7656811!4d10.7307129!16s%2Fg%2F11vbg521vl!19sChIJwVpt4JnTARMRNEWx_nbnVkk?authuser=0&hl=fr&rclk=1
24,Restaurant El Lamma,Rue Ahmed Sekelli,Restaurant,"3,9",29,https://www.google.com/maps/place/Restaurant+El+Lamma/data=!4m7!3m6!1s0x13002cd4ddddd7b3:0xd75d3f30b75ffad6!8m2!3d34.7370905!4d10.7517337!16s%2Fg%2F11c5xdgj3v!19sChIJs9fd3dQsABMR1vpftzA_Xdc?authuser=0&hl=fr&rclk=1
25,Resto tabona Morsi,"PQW3+GR8, Rue chakib arslen",Restaurant,"4,4",14,https://www.google.com/maps/place/Resto+tabona+Morsi/data=!4m7!3m6!1s0x1301d3282b66aa3b:0x3a05c291657948b3!8m2!3d34.7462962!4d10.7545672!16s%2Fg%2F11f3dqs1h4!19sChIJO6pmKyjTARMRs0h5ZZHCBTo?authuser=0&hl=fr&rclk=1
